EC,PRESS,TEMP,DEPTH,ALT
0.02,972.80,22.35,-0.41,342.15,
0.02,973.00,22.35,-0.41,340.43,
0.04,973.00,22.35,-0.41,340.43,
0.04,972.70,22.35,-0.41,343.01,
0.04,973.10,22.35,-0.41,339.57,
0.04,973.20,22.35,-0.41,338.71,
0.00,973.20,22.35,-0.41,338.71,
0.04,972.90,22.36,-0.41,341.29,
0.02,973.10,22.35,-0.41,339.57,
0.04,973.10,22.35,-0.41,339.57,
0.04,972.80,22.35,-0.41,342.15,
0.04,972.60,22.36,-0.41,343.87,
0.06,972.90,22.35,-0.41,341.29,
0.06,972.80,22.35,-0.41,342.15,
0.04,973.00,22.35,-0.41,340.43,
0.00,973.50,22.35,-0.40,336.13,
0.02,973.10,22.35,-0.41,339.57,
0.04,973.30,22.35,-0.41,337.85,
0.06,972.80,22.35,-0.41,342.15,
0.00,973.20,22.35,-0.41,338.71,
0.02,972.80,22.35,-0.41,342.15,
0.06,973.00,22.35,-0.41,340.43,
0.06,972.70,22.35,-0.41,343.01,
0.04,973.30,22.35,-0.41,337.85,
0.06,972.80,22.35,-0.41,342.15,
0.04,973.50,22.36,-0.40,336.13,
0.08,973.20,22.35,-0.41,338.71,
0.02,973.10,22.36,-0.41,339.57,
0.06,973.00,22.35,-0.41,340.43,
0.02,973.10,22.35,-0.41,339.57,
0.04,973.30,22.35,-0.41,337.85,
0.02,973.50,22.35,-0.40,336.13,
0.00,972.50,22.36,-0.41,344.73,
0.04,973.00,22.35,-0.41,340.43,
0.04,973.40,22.36,-0.41,336.99,
0.02,973.00,22.35,-0.41,340.43,
0.02,973.20,22.36,-0.41,338.71,
0.04,973.00,22.36,-0.41,340.43,
252.60,972.90,22.36,-0.41,341.29,
783.80,972.80,22.36,-0.41,342.15,
790.70,973.20,22.37,-0.41,338.71,
793.10,972.90,22.38,-0.41,341.29,
793.90,972.90,22.40,-0.41,341.29,
793.90,973.40,22.42,-0.41,336.99,
793.90,973.00,22.44,-0.41,340.43,
792.90,973.00,22.46,-0.41,340.43,
792.50,972.90,22.48,-0.41,341.29,
792.50,973.00,22.50,-0.41,340.43,
792.60,973.30,22.52,-0.41,337.85,
792.80,973.00,22.54,-0.41,340.43,
793.00,972.80,22.56,-0.41,342.15,
793.10,973.00,22.58,-0.41,340.43,
793.30,973.30,22.60,-0.41,337.85,
793.30,973.20,22.59,-0.41,338.71,
793.30,972.80,22.63,-0.41,342.15,
793.30,972.80,22.65,-0.41,342.15,
793.30,972.90,22.66,-0.41,341.29,
793.40,973.40,22.68,-0.41,336.99,
793.40,973.30,22.70,-0.41,337.85,
793.50,973.00,22.71,-0.41,340.43,
793.70,973.30,22.73,-0.41,337.85,
793.70,973.20,22.74,-0.41,338.71,
793.70,973.30,22.76,-0.41,337.85,
793.80,973.30,22.77,-0.41,337.85,
793.70,973.60,22.78,-0.40,335.28,
793.90,973.50,22.79,-0.40,336.13,
794.00,973.10,22.81,-0.41,339.57,
794.10,973.30,22.82,-0.41,337.85,
794.00,972.80,22.83,-0.41,342.15,
794.00,973.50,22.85,-0.40,336.13,
794.00,973.10,22.86,-0.41,339.57,
793.90,973.00,22.87,-0.41,340.43,
794.00,973.40,22.88,-0.41,336.99,
794.00,973.50,22.89,-0.40,336.13,
794.10,973.00,22.91,-0.41,340.43,
794.10,973.20,22.92,-0.41,338.71,
794.30,973.00,22.93,-0.41,340.43,
794.20,973.20,22.94,-0.41,338.71,
794.20,972.90,22.95,-0.41,341.29,
794.30,972.90,22.96,-0.41,341.29,
794.30,973.50,22.97,-0.40,336.13,
794.30,973.10,22.98,-0.41,339.57,
794.00,973.20,22.99,-0.41,338.71,
793.90,972.70,23.00,-0.41,343.01,
794.00,973.20,23.00,-0.41,338.71,
794.00,973.20,23.02,-0.41,338.71,
794.00,973.60,23.03,-0.40,335.28,
794.10,973.20,23.03,-0.41,338.71,
794.00,973.10,23.05,-0.41,339.57,
794.10,973.10,23.06,-0.41,339.57,
794.20,973.70,23.06,-0.40,334.41,
794.20,973.30,23.07,-0.41,337.85,
794.20,973.60,23.08,-0.40,335.28,
794.10,972.90,23.09,-0.41,341.29,
794.30,973.40,23.10,-0.41,336.99,
794.10,973.30,23.10,-0.41,337.85,
794.10,973.70,23.11,-0.40,334.41,
794.20,973.50,23.12,-0.40,336.13,
794.20,973.30,23.13,-0.41,337.85,
794.30,973.80,23.14,-0.40,333.56,
794.30,973.50,23.15,-0.40,336.13,
794.30,973.40,23.15,-0.41,336.99,
794.30,973.40,23.16,-0.41,336.99,
794.40,973.50,23.16,-0.40,336.13,
794.40,973.50,23.17,-0.40,336.13,
794.40,973.40,23.18,-0.41,336.99,
794.40,973.60,23.19,-0.40,335.28,
794.50,973.50,23.20,-0.40,336.13,
794.60,973.20,23.21,-0.41,338.71,
794.50,973.40,23.21,-0.41,336.99,
794.60,973.20,23.22,-0.41,338.71,
794.60,973.60,23.22,-0.40,335.28,
794.50,973.30,23.23,-0.41,337.85,
794.60,973.40,23.23,-0.41,336.99,
794.70,973.40,23.24,-0.41,336.99,
794.70,973.10,23.24,-0.41,339.57,
794.60,973.40,23.24,-0.41,336.99,
652.50,973.50,23.23,-0.40,336.13,
78.22,973.30,23.23,-0.41,337.85,
80.12,973.70,23.22,-0.40,334.41,
56.97,973.30,23.21,-0.41,337.85,
56.77,973.40,23.21,-0.41,336.99,
