EC,PRESS,TEMP,DEPTH,ALT
0.00,959.00,23.21,-0.55,461.52,
0.06,960.70,23.18,-0.53,446.74,
0.02,963.10,23.15,-0.51,425.91,
0.02,958.70,23.21,-0.56,464.13,
0.00,959.80,23.20,-0.54,454.56,
0.00,959.60,23.20,-0.55,456.30,
0.00,960.20,23.20,-0.54,451.08,
0.00,959.90,23.21,-0.54,453.69,
0.00,960.80,23.19,-0.53,445.87,
0.00,960.80,23.19,-0.53,445.87,
0.00,960.60,23.19,-0.54,447.61,
0.04,959.90,23.21,-0.54,453.69,
0.04,961.50,23.19,-0.53,439.79,
0.00,959.50,23.22,-0.55,457.17,
0.02,959.80,23.23,-0.54,454.56,
0.00,959.90,23.23,-0.54,453.69,
0.00,959.60,23.23,-0.55,456.30,
0.00,959.80,23.24,-0.54,454.56,
0.00,959.60,23.24,-0.55,456.30,
0.00,960.10,23.24,-0.54,451.95,
0.00,959.70,23.25,-0.55,455.43,
0.00,960.00,23.25,-0.54,452.82,
0.00,960.30,23.25,-0.54,450.22,
0.00,959.90,23.26,-0.54,453.69,
0.00,960.20,23.26,-0.54,451.08,
0.02,960.40,23.26,-0.54,449.35,
0.02,960.50,23.26,-0.54,448.47,
0.02,960.50,23.26,-0.54,448.47,
0.00,959.70,23.27,-0.55,455.43,
0.02,960.60,23.27,-0.54,447.61,
0.00,960.00,23.27,-0.54,452.82,
0.02,960.20,23.27,-0.54,451.08,
0.00,960.10,23.27,-0.54,451.95,
0.00,960.10,23.28,-0.54,451.95,
0.00,959.90,23.28,-0.54,453.69,
0.02,960.10,23.28,-0.54,451.95,
0.00,960.40,23.28,-0.54,449.35,
0.04,960.30,23.28,-0.54,450.22,
0.00,959.90,23.28,-0.54,453.69,
0.00,960.40,23.28,-0.54,449.35,
0.02,960.20,23.28,-0.54,451.08,
0.02,960.10,23.29,-0.54,451.95,
0.02,960.40,23.28,-0.54,449.35,
0.00,960.10,23.28,-0.54,451.95,
0.00,960.00,23.29,-0.54,452.82,
0.02,960.10,23.29,-0.54,451.95,
0.02,960.60,23.28,-0.54,447.61,
0.00,961.10,23.29,-0.53,443.26,
0.00,958.10,23.33,-0.56,469.35,
0.02,961.30,23.28,-0.53,441.53,
0.02,959.00,23.32,-0.55,461.52,
0.00,956.10,23.36,-0.58,486.78,
0.00,957.50,23.35,-0.57,474.58,
0.00,956.10,23.38,-0.58,486.78,
0.02,957.60,23.34,-0.57,473.70,
0.00,956.60,23.37,-0.58,482.42,
0.00,958.60,23.34,-0.56,465.00,
0.00,954.40,23.41,-0.60,501.62,
0.00,958.60,23.34,-0.56,465.00,
0.02,957.00,23.38,-0.57,478.93,
0.00,956.90,23.38,-0.57,479.80,
0.00,954.00,23.43,-0.60,505.11,
0.02,950.80,23.49,-0.64,533.11,
0.04,953.90,23.44,-0.60,505.98,
0.04,954.50,23.43,-0.60,500.74,
0.00,948.90,23.52,-0.66,549.76,
0.02,956.90,23.41,-0.57,479.80,
0.00,956.90,23.41,-0.57,479.80,
0.00,957.30,23.41,-0.57,476.32,
0.00,956.90,23.42,-0.57,479.80,
0.06,956.90,23.43,-0.57,479.80,
0.00,-20700.40,23.19,-222.08,nan,
0.02,956.00,23.46,-0.58,487.65,
0.02,957.40,23.44,-0.57,475.45,
0.02,957.40,23.45,-0.57,475.45,
0.04,957.30,23.46,-0.57,476.32,
0.04,957.40,23.47,-0.57,475.45,
0.00,957.90,23.48,-0.56,471.09,
0.02,957.20,23.49,-0.57,477.19,
0.00,957.50,23.50,-0.57,474.58,
0.02,951.70,23.61,-0.63,525.22,
0.02,953.10,23.58,-0.61,512.98,
0.00,954.20,23.57,-0.60,503.36,
0.04,954.40,23.57,-0.60,501.62,
0.02,954.70,23.57,-0.60,499.00,
0.04,954.50,23.58,-0.60,500.74,
0.02,955.00,23.58,-0.59,496.38,
0.04,954.50,23.58,-0.60,500.74,
0.04,954.60,23.59,-0.60,499.87,
0.02,954.60,23.60,-0.60,499.87,
0.02,954.90,23.60,-0.59,497.25,
0.00,955.00,23.60,-0.59,496.38,
0.04,955.50,23.58,-0.59,492.01,
0.02,956.20,23.59,-0.58,485.91,
0.02,953.90,23.63,-0.60,505.98,
0.00,954.80,23.61,-0.60,498.12,
0.02,955.30,23.60,-0.59,493.76,
0.02,954.10,23.64,-0.60,504.24,
0.02,955.70,23.60,-0.59,490.27,
0.06,955.40,23.63,-0.59,492.88,
0.00,953.20,23.66,-0.61,512.10,
0.04,957.80,23.59,-0.56,471.96,
0.04,951.70,23.70,-0.63,525.22,
0.02,958.00,23.60,-0.56,470.22,
0.02,956.40,23.64,-0.58,484.16,
0.08,956.00,23.64,-0.58,487.65,
0.06,956.00,23.65,-0.58,487.65,
0.04,956.00,23.65,-0.58,487.65,
0.08,956.30,23.65,-0.58,485.03,
0.04,955.60,23.66,-0.59,491.14,
0.04,956.70,23.66,-0.58,481.55,
0.00,955.90,23.67,-0.58,488.52,
0.04,956.00,23.67,-0.58,487.65,
0.04,955.70,23.68,-0.59,490.27,
0.00,956.30,23.68,-0.58,485.03,
0.04,956.20,23.68,-0.58,485.91,
0.00,955.90,23.69,-0.58,488.52,
0.04,956.30,23.69,-0.58,485.03,
0.02,956.80,23.70,-0.57,480.68,
0.00,955.70,23.72,-0.59,490.27,
0.00,955.80,23.71,-0.59,489.40,
0.04,960.10,23.65,-0.54,451.95,
0.04,959.40,23.66,-0.55,458.04,
0.04,958.30,23.69,-0.56,467.61,
0.02,955.80,23.73,-0.59,489.40,
0.02,944.40,23.90,-0.70,589.33,
0.06,943.70,23.91,-0.71,595.49,
0.02,948.80,23.84,-0.66,550.64,
0.06,950.20,23.81,-0.64,538.36,
0.11,950.70,23.80,-0.64,533.98,
0.02,950.80,23.80,-0.64,533.11,
0.00,951.20,23.80,-0.63,529.60,
0.08,951.20,23.80,-0.63,529.60,
0.02,951.20,23.80,-0.63,529.60,
0.06,951.10,23.80,-0.63,530.48,
0.00,962.10,23.64,-0.52,434.58,
0.00,963.90,23.62,-0.50,418.98,
0.00,966.10,23.60,-0.48,399.93,
0.02,963.50,23.66,-0.51,422.44,
0.00,956.70,23.77,-0.58,481.55,
0.04,960.50,23.72,-0.54,448.47,
0.00,956.60,23.77,-0.58,482.42,
