EC,PRESS,TEMP,DEPTH,ALT
2.77,961.70,23.19,-0.52,438.05,
2.82,961.40,23.19,-0.53,440.66,
2.82,961.70,23.19,-0.52,438.05,
2.80,961.70,23.18,-0.52,438.05,
2.80,962.00,23.18,-0.52,435.45,
2.77,961.90,23.18,-0.52,436.32,
2.75,961.60,23.17,-0.53,438.92,
2.73,961.70,23.17,-0.52,438.05,
2.73,961.70,23.16,-0.52,438.05,
2.69,961.50,23.15,-0.53,439.79,
2.77,961.60,23.14,-0.53,438.92,
2.80,961.10,23.14,-0.53,443.26,
2.69,961.50,23.13,-0.53,439.79,
2.62,961.70,23.13,-0.52,438.05,
2.67,961.40,23.11,-0.53,440.66,
2.69,961.90,23.10,-0.52,436.32,
2.67,961.40,23.09,-0.53,440.66,
2.65,961.80,23.08,-0.52,437.19,
2.62,961.90,23.08,-0.52,436.32,
2.62,961.60,23.08,-0.53,438.92,
2.64,961.70,23.07,-0.52,438.05,
2.58,961.70,23.06,-0.52,438.05,
2.58,962.30,23.05,-0.52,432.85,
2.60,961.90,23.04,-0.52,436.32,
2.60,963.10,23.02,-0.51,425.91,
2.56,964.40,22.99,-0.50,414.64,
2.52,963.90,23.00,-0.50,418.98,
2.54,963.30,23.00,-0.51,424.18,
2.56,962.50,23.00,-0.52,431.11,
2.50,962.20,23.00,-0.52,433.71,
2.52,962.60,22.99,-0.52,430.24,
2.54,962.20,22.99,-0.52,433.71,
2.56,962.30,22.98,-0.52,432.85,
2.52,963.10,22.97,-0.51,425.91,
2.43,962.00,22.98,-0.52,435.45,
2.58,961.20,23.00,-0.53,442.40,
2.58,962.00,22.97,-0.52,435.45,
2.60,962.20,22.97,-0.52,433.71,
2.58,962.60,22.96,-0.52,430.24,
2.54,962.30,22.96,-0.52,432.85,
2.45,962.80,22.95,-0.51,428.51,
2.45,962.80,22.95,-0.51,428.51,
2.43,961.80,22.96,-0.52,437.19,
2.45,962.60,22.95,-0.52,430.24,
2.43,962.00,22.95,-0.52,435.45,
2.41,962.70,22.94,-0.51,429.38,
2.41,963.40,22.92,-0.51,423.31,
2.43,961.00,22.96,-0.53,444.13,
2.41,961.20,22.95,-0.53,442.40,
2.50,961.40,22.94,-0.53,440.66,
2.47,961.30,22.95,-0.53,441.53,
2.47,960.30,22.96,-0.54,450.22,
2.50,955.10,23.04,-0.59,495.50,
2.43,958.10,22.99,-0.56,469.35,
2.45,958.10,23.01,-0.56,469.35,
2.50,968.80,22.84,-0.45,376.61,
2.41,962.90,22.94,-0.51,427.64,
2.45,962.90,22.95,-0.51,427.64,
3.03,962.60,22.97,-0.52,430.24,
2.84,962.80,22.97,-0.51,428.51,
2.80,962.80,22.98,-0.51,428.51,
2.73,962.00,23.00,-0.52,435.45,
2.77,962.00,23.00,-0.52,435.45,
2.82,962.20,23.01,-0.52,433.71,
2.82,966.10,22.95,-0.48,399.93,
2.88,963.60,23.02,-0.51,421.58,
2.90,963.00,23.05,-0.51,426.78,
2.99,962.10,23.07,-0.52,434.58,
2.90,962.30,23.08,-0.52,432.85,
3.12,962.50,23.09,-0.52,431.11,
2.97,961.10,23.12,-0.53,443.26,
2.79,961.40,23.12,-0.53,440.66,
2.65,961.40,23.13,-0.53,440.66,
2.82,961.80,23.14,-0.52,437.19,
2.77,961.40,23.15,-0.53,440.66,
2.69,961.20,23.16,-0.53,442.40,
2.52,961.40,23.17,-0.53,440.66,
2.52,961.50,23.18,-0.53,439.79,
2.49,961.00,23.18,-0.53,444.13,
2.75,961.70,23.19,-0.52,438.05,
2.94,961.40,23.20,-0.53,440.66,
2.79,961.50,23.21,-0.53,439.79,
2.30,961.60,23.22,-0.53,438.92,
2.79,961.70,23.23,-0.52,438.05,
2.88,961.00,23.24,-0.53,444.13,
3.01,961.60,23.25,-0.53,438.92,
2.97,961.40,23.26,-0.53,440.66,
2.94,961.20,23.27,-0.53,442.40,
2.97,961.10,23.28,-0.53,443.26,
3.01,961.20,23.29,-0.53,442.40,
3.03,961.40,23.29,-0.53,440.66,
3.03,961.40,23.30,-0.53,440.66,
2.39,961.50,23.31,-0.53,439.79,
1.51,961.70,23.32,-0.52,438.05,
1.47,961.50,23.32,-0.53,439.79,
1.38,961.50,23.33,-0.53,439.79,
1.45,961.70,23.34,-0.52,438.05,
