EC,PRESS,TEMP,DEPTH,ALT
26.96,959.10,25.99,-0.55,460.65,
27.16,959.00,25.98,-0.55,461.52,
27.14,958.10,26.00,-0.56,469.35,
27.19,958.90,25.99,-0.55,462.39,
27.19,958.60,25.99,-0.56,465.00,
27.17,959.20,25.99,-0.55,459.78,
27.08,959.00,25.98,-0.55,461.52,
27.13,959.10,25.98,-0.55,460.65,
27.13,959.80,25.97,-0.54,454.56,
27.13,958.50,25.99,-0.56,465.87,
27.15,959.40,25.98,-0.55,458.04,
27.13,958.60,25.99,-0.56,465.00,
27.17,959.30,25.98,-0.55,458.91,
27.17,959.00,25.99,-0.55,461.52,
27.17,959.00,25.99,-0.55,461.52,
27.17,959.80,25.99,-0.54,454.56,
27.26,958.80,26.00,-0.55,463.26,
27.26,959.30,25.99,-0.55,458.91,
27.24,959.00,26.01,-0.55,461.52,
27.28,959.40,26.00,-0.55,458.04,
27.35,958.50,26.00,-0.56,465.87,
27.30,957.80,26.02,-0.56,471.96,
27.33,958.70,26.01,-0.56,464.13,
27.35,959.50,25.99,-0.55,457.17,
27.40,957.90,26.01,-0.56,471.09,
27.35,958.40,26.01,-0.56,466.74,
27.36,957.20,26.01,-0.57,477.19,
27.36,957.90,26.00,-0.56,471.09,
27.40,958.00,26.00,-0.56,470.22,
27.24,957.90,26.00,-0.56,471.09,
16.18,955.80,26.03,-0.59,489.40,
12.09,959.30,25.97,-0.55,458.91,
8.40,959.70,25.96,-0.55,455.43,
8.45,959.70,25.97,-0.55,455.43,
8.25,958.40,25.99,-0.56,466.74,
8.10,957.40,26.00,-0.57,475.45,
8.05,958.60,25.98,-0.56,465.00,
8.05,957.90,25.99,-0.56,471.09,
7.86,958.10,25.99,-0.56,469.35,
8.10,958.30,25.99,-0.56,467.61,
7.99,957.60,26.00,-0.57,473.70,
7.86,957.80,25.99,-0.56,471.96,
7.97,957.40,26.00,-0.57,475.45,
7.92,957.70,25.99,-0.57,472.83,
7.90,-20828.50,25.78,-223.39,nan,
7.92,957.40,26.01,-0.57,475.45,
7.92,957.30,26.01,-0.57,476.32,
7.83,957.50,26.00,-0.57,474.58,
7.73,958.10,26.00,-0.56,469.35,
7.42,957.80,26.00,-0.56,471.96,
6.90,958.10,26.00,-0.56,469.35,
2.09,957.70,26.00,-0.57,472.83,
3.05,957.80,25.99,-0.56,471.96,
4.21,957.70,26.00,-0.57,472.83,
7.38,957.60,26.00,-0.57,473.70,
7.92,957.90,26.01,-0.56,471.09,
7.48,957.90,26.01,-0.56,471.09,
6.55,957.60,26.01,-0.57,473.70,
6.18,957.80,26.02,-0.56,471.96,
7.70,957.90,26.02,-0.56,471.09,
7.92,958.00,26.02,-0.56,470.22,
7.92,957.80,26.03,-0.56,471.96,
8.01,957.90,26.04,-0.56,471.09,
7.77,957.60,26.04,-0.57,473.70,
7.96,957.50,26.05,-0.57,474.58,
8.12,957.60,26.06,-0.57,473.70,
7.88,958.90,26.03,-0.55,462.39,
8.05,959.20,26.05,-0.55,459.78,
8.25,958.50,26.06,-0.56,465.87,
7.85,958.90,26.06,-0.55,462.39,
8.01,958.90,26.07,-0.55,462.39,
8.14,957.80,26.09,-0.56,471.96,
8.25,958.00,26.10,-0.56,470.22,
9.19,958.00,26.11,-0.56,470.22,
9.10,957.10,26.12,-0.57,478.06,
9.17,957.40,26.13,-0.57,475.45,
