cond_uscm,pH,pressure_mbar,temp_C,depth_m,alt_m
0.11,4.06,955.70,26.90,-0.59,490.27
0.02,4.04,955.80,26.91,-0.59,489.40
0.04,4.04,956.10,26.92,-0.58,486.78
0.06,4.06,955.90,26.92,-0.58,488.52
0.02,4.06,955.70,26.92,-0.59,490.27
0.08,4.06,955.80,26.92,-0.59,489.40
0.06,4.04,955.80,26.92,-0.59,489.40
0.04,4.04,956.10,26.92,-0.58,486.78
0.08,4.06,955.80,26.92,-0.59,489.40
0.08,4.06,955.70,26.92,-0.59,490.27
0.08,4.06,955.80,26.92,-0.59,489.40
0.08,4.06,955.60,26.87,-0.59,491.14
0.06,4.06,955.80,26.86,-0.59,489.40
0.06,4.06,955.90,26.86,-0.58,488.52
0.08,4.06,955.70,26.85,-0.59,490.27
0.02,4.06,955.90,26.84,-0.58,488.52
0.06,4.07,956.30,26.84,-0.58,485.03
0.08,4.06,955.70,26.83,-0.59,490.27
0.08,4.07,955.70,26.83,-0.59,490.27
0.06,4.07,955.90,26.83,-0.58,488.52
0.08,4.07,955.90,26.83,-0.58,488.52
0.06,4.07,955.90,26.82,-0.58,488.52
0.06,4.07,955.70,26.82,-0.59,490.27
0.11,4.07,955.70,26.82,-0.59,490.27
0.02,4.07,956.20,26.82,-0.58,485.91
0.06,4.07,956.00,26.81,-0.58,487.65
0.06,4.06,956.20,26.81,-0.58,485.91
0.13,4.06,955.40,26.81,-0.59,492.88
0.08,4.06,956.10,26.81,-0.58,486.78
0.11,4.07,956.20,26.81,-0.58,485.91
0.08,4.06,955.90,26.81,-0.58,488.52
0.15,4.06,956.00,26.81,-0.58,487.65
0.04,4.06,955.90,26.81,-0.58,488.52
0.11,4.06,956.20,26.80,-0.58,485.91
0.11,4.07,956.00,26.81,-0.58,487.65
0.11,4.06,956.00,26.80,-0.58,487.65
0.04,4.07,955.90,26.80,-0.58,488.52
0.06,4.07,956.20,26.80,-0.58,485.91
0.15,4.06,955.70,26.80,-0.59,490.27
0.08,4.07,955.90,26.80,-0.58,488.52
0.11,4.07,956.00,26.79,-0.58,487.65
0.11,4.07,956.00,26.79,-0.58,487.65
0.11,4.07,956.30,26.79,-0.58,485.03
0.06,4.07,955.90,26.79,-0.58,488.52
0.04,4.07,956.10,26.79,-0.58,486.78
0.15,4.07,955.70,26.78,-0.59,490.27
0.08,4.07,955.80,26.78,-0.59,489.40
0.08,4.07,955.70,26.78,-0.59,490.27
0.08,4.07,956.40,26.78,-0.58,484.16
0.11,4.07,955.60,26.77,-0.59,491.14
0.04,4.07,955.40,26.77,-0.59,492.88
0.08,4.07,955.70,26.77,-0.59,490.27
0.06,4.07,955.80,26.77,-0.59,489.40
0.08,4.07,956.40,26.76,-0.58,484.16
0.11,4.07,955.60,26.76,-0.59,491.14
0.08,4.07,956.30,26.76,-0.58,485.03
0.06,4.07,956.30,26.76,-0.58,485.03
0.06,4.07,956.10,26.76,-0.58,486.78
0.08,4.06,956.00,26.76,-0.58,487.65
0.13,4.07,955.80,26.75,-0.59,489.40
0.06,4.07,955.70,26.75,-0.59,490.27
0.06,4.07,955.70,26.75,-0.59,490.27
0.13,4.07,955.80,26.75,-0.59,489.40
0.06,4.06,955.90,26.75,-0.58,488.52
0.08,4.07,956.10,26.75,-0.58,486.78
0.11,4.07,956.10,26.75,-0.58,486.78
0.06,4.06,955.70,26.74,-0.59,490.27
0.06,4.07,955.80,26.74,-0.59,489.40
0.04,4.07,955.50,26.74,-0.59,492.01
0.08,4.07,955.90,26.74,-0.58,488.52
0.08,4.07,956.00,26.73,-0.58,487.65
0.06,4.07,956.00,26.73,-0.58,487.65
0.08,4.07,956.10,26.73,-0.58,486.78
0.08,4.07,955.60,26.73,-0.59,491.14
0.11,4.07,956.20,26.73,-0.58,485.91
0.11,4.07,955.70,26.73,-0.59,490.27
0.15,4.07,955.80,26.73,-0.59,489.40
0.06,4.07,956.00,26.73,-0.58,487.65
0.11,4.07,955.80,26.72,-0.59,489.40
0.11,4.07,955.50,26.72,-0.59,492.01
0.11,4.07,956.00,26.73,-0.58,487.65
0.11,4.07,956.00,26.72,-0.58,487.65
0.04,4.07,955.50,26.73,-0.59,492.01
0.11,4.07,955.80,26.72,-0.59,489.40
0.06,4.07,955.90,26.72,-0.58,488.52
0.11,4.07,956.10,26.73,-0.58,486.78
0.15,4.07,955.80,26.73,-0.59,489.40
0.08,4.07,956.00,26.73,-0.58,487.65
0.08,4.07,956.10,26.73,-0.58,486.78
0.11,4.07,956.10,26.73,-0.58,486.78
0.11,4.07,956.10,26.73,-0.58,486.78
0.06,4.07,956.10,26.73,-0.58,486.78
0.08,4.07,956.00,26.73,-0.58,487.65
0.11,4.07,956.40,26.73,-0.58,484.16
0.08,4.06,956.00,26.73,-0.58,487.65
0.11,4.07,956.20,26.73,-0.58,485.91
0.13,4.07,955.90,26.73,-0.58,488.52
0.13,4.07,955.60,26.73,-0.59,491.14
0.15,4.07,956.00,26.73,-0.58,487.65
0.08,4.07,955.80,26.74,-0.59,489.40
0.11,4.07,956.00,26.74,-0.58,487.65
0.13,4.07,955.50,26.74,-0.59,492.01
0.06,4.07,956.00,26.73,-0.58,487.65
0.08,4.07,955.80,26.74,-0.59,489.40
0.11,4.07,955.80,26.74,-0.59,489.40
0.11,4.07,956.30,26.74,-0.58,485.03
0.13,4.07,955.90,26.74,-0.58,488.52
0.11,4.07,956.20,26.74,-0.58,485.91
0.06,4.07,956.30,26.74,-0.58,485.03
0.15,4.07,955.80,26.74,-0.59,489.40
0.15,4.07,955.80,26.75,-0.59,489.40
0.11,4.07,956.00,26.75,-0.58,487.65
0.11,4.06,956.30,26.75,-0.58,485.03
0.11,4.07,955.60,26.75,-0.59,491.14
0.13,4.07,956.10,26.75,-0.58,486.78
0.15,4.07,956.40,26.75,-0.58,484.16
0.11,4.06,956.20,26.75,-0.58,485.91
0.08,4.07,955.50,26.75,-0.59,492.01
0.13,4.07,956.50,26.75,-0.58,483.29
0.11,4.07,955.30,26.74,-0.59,493.76
0.13,4.07,955.80,26.75,-0.59,489.40
0.11,4.07,955.80,26.74,-0.59,489.40
0.11,4.07,955.70,26.75,-0.59,490.27
0.08,4.07,956.20,26.75,-0.58,485.91
0.13,4.07,955.80,26.74,-0.59,489.40
0.11,4.07,956.10,26.74,-0.58,486.78
0.13,4.07,955.80,26.74,-0.59,489.40
0.11,4.07,956.20,26.74,-0.58,485.91
0.08,4.07,955.80,26.74,-0.59,489.40
0.13,4.07,955.70,26.74,-0.59,490.27
0.11,4.07,956.00,26.74,-0.58,487.65
0.13,4.07,956.00,26.74,-0.58,487.65
0.11,4.07,956.10,26.74,-0.58,486.78
0.06,4.07,956.10,26.74,-0.58,486.78
0.13,4.07,956.10,26.74,-0.58,486.78
0.11,4.07,955.80,26.74,-0.59,489.40
0.11,4.07,955.90,26.74,-0.58,488.52
0.13,4.07,955.90,26.74,-0.58,488.52
0.08,4.06,955.60,26.74,-0.59,491.14
0.13,4.07,956.50,26.74,-0.58,483.29
0.13,4.07,956.10,26.74,-0.58,486.78
0.11,4.07,955.70,26.74,-0.59,490.27
0.06,4.07,956.10,26.75,-0.58,486.78
0.08,4.07,956.20,26.74,-0.58,485.91
0.13,4.07,955.50,26.75,-0.59,492.01
0.06,4.07,955.90,26.75,-0.58,488.52
0.11,4.07,956.30,26.75,-0.58,485.03
0.11,4.07,955.70,26.75,-0.59,490.27
0.15,4.07,955.90,26.75,-0.58,488.52
0.08,4.07,955.70,26.75,-0.59,490.27
0.11,4.07,955.80,26.75,-0.59,489.40
0.17,4.07,955.60,26.75,-0.59,491.14
0.11,4.07,955.60,26.75,-0.59,491.14
0.13,4.06,956.00,26.75,-0.58,487.65
0.11,4.07,955.70,26.75,-0.59,490.27
0.11,4.06,955.50,26.75,-0.59,492.01
0.13,4.07,955.80,26.75,-0.59,489.40
0.11,4.06,956.20,26.74,-0.58,485.91
0.11,4.06,955.80,26.74,-0.59,489.40
0.08,4.07,956.00,26.75,-0.58,487.65
0.13,4.07,955.80,26.74,-0.59,489.40
0.11,4.07,956.00,26.74,-0.58,487.65
0.08,4.06,955.90,26.74,-0.58,488.52
0.11,4.06,955.70,26.74,-0.59,490.27
0.13,4.06,955.40,26.74,-0.59,492.88
0.06,4.07,955.80,26.74,-0.59,489.40
0.15,4.06,955.60,26.74,-0.59,491.14
0.11,4.06,955.80,26.74,-0.59,489.40
0.08,4.06,955.90,26.73,-0.58,488.52
0.13,4.06,955.70,26.73,-0.59,490.27
0.11,4.06,955.80,26.73,-0.59,489.40
0.13,4.12,955.70,26.73,-0.59,490.27
0.08,4.09,955.30,26.74,-0.59,493.76
0.06,4.05,956.10,26.73,-0.58,486.78
0.11,4.05,955.50,26.73,-0.59,492.01
0.06,4.06,955.90,26.72,-0.58,488.52
0.04,4.06,956.00,26.72,-0.58,487.65
0.11,4.06,955.60,26.72,-0.59,491.14
0.08,4.06,955.40,26.71,-0.59,492.88
0.11,4.06,955.80,26.71,-0.59,489.40
